Date, Close/Last, Volume, Open, High, Low
05/21/2019, $354.27, 4026369, $350.95, $356.425, $349.93
05/20/2019, $348.11, 4621515, $351.23, $352.418, $345.4
05/17/2019, $354.45, 4725448, $356.39, $359.62, $353.785
05/16/2019, $359.31, 6441463, $356.37, $364, $353.935
05/15/2019, $354.99, 6340118, $343.34, $356.5, $341.39
05/14/2019, $345.61, 5353029, $348.71, $349.95, $342.5
05/13/2019, $345.26, 8026697, $352.29, $354.26, $343.1
05/10/2019, $361.04, 5657123, $361.62, $365.2578, $353.06
05/09/2019, $362.75, 5882572, $360.9, $364.2, $352.75
05/08/2019, $364.37, 6571957, $367.92, $369, $361.36
05/07/2019, $370.46, 6974924, $377, $379.91, $365.81
05/06/2019, $378.67, 5793144, $377.69, $381.35, $376
05/03/2019, $385.03, 5130301, $381.53, $385.03, $378.2717
05/02/2019, $379.06, 5398167, $378, $383.5, $374.51
05/01/2019, $378.81, 9257284, $374, $385.99, $373.1746
04/30/2019, $370.54, 3863973, $369.56, $374.5, $368.348
04/29/2019, $371.83, 3764911, $373.68, $374.5753, $369.115
04/26/2019, $374.85, 5615814, $368.35, $375.14, $366.24
04/25/2019, $368.33, 6242518, $374.49, $374.76, $365.7
04/24/2019, $374.23, 6519978, $381.07, $381.9, $373.2698
04/23/2019, $381.89, 9992022, $375.45, $384.8, $374.7069
04/22/2019, $377.34, 11959940, $359.7, $377.69, $359
04/18/2019, $360.35, 8346470, $355, $360.41, $351.64
04/17/2019, $354.74, 18009350, $365.05, $368.764, $350.6
04/16/2019, $359.46, 18416450, $355, $364.4787, $352.72
04/15/2019, $348.87, 8819081, $350.71, $352.21, $342.27
04/12/2019, $351.14, 15605580, $360.69, $361.75, $349.36
04/11/2019, $367.65, 6416155, $365, $370.12, $360.81
04/10/2019, $363.92, 4537963, $365.79, $368.8481, $362.25
04/09/2019, $364.71, 5431467, $360.54, $366.74, $359
04/08/2019, $361.41, 4648877, $365.11, $365.94, $359.93
04/05/2019, $365.49, 3898888, $369, $369.8, $364.66
04/04/2019, $367.88, 4621965, $370.07, $372.05, $362.4
04/03/2019, $369.75, 5366498, $369.26, $373.4105, $366.19
04/02/2019, $367.72, 5114466, $366.25, $368.42, $362.22
04/01/2019, $366.96, 6974045, $359, $368.33, $358.51
03/29/2019, $356.56, 4700683, $357.16, $358.25, $353.71
03/28/2019, $354.61, 4349820, $354.485, $355.94, $349.2
03/27/2019, $353.37, 7826426, $361, $362.47, $350.37
03/26/2019, $359.97, 7648249, $367.87, $368.38, $358.02
03/25/2019, $366.23, 8464512, $359, $367.0399, $357.44
03/22/2019, $361.01, 8627185, $375.95, $376.43, $360.04
03/21/2019, $377.87, 8522990, $374, $379, $370.61
03/20/2019, $375.22, 10784680, $358.91, $375.9, $357.01
03/19/2019, $358.78, 7234757, $366.4, $366.96, $356.8
03/18/2019, $363.44, 7187742, $362.47, $370.9705, $361.86
03/15/2019, $361.46, 8438090, $361.02, $364, $358.89
03/14/2019, $358.82, 5263947, $360.5, $363.84, $358.1008
03/13/2019, $361.21, 6399141, $355.81, $362.48, $352.765
03/12/2019, $356.27, 5161706, $359.37, $360.13, $353.8
03/11/2019, $358.86, 5342609, $352, $358.98, $350.03
03/08/2019, $349.6, 6891251, $345.75, $349.92, $342.47
03/07/2019, $352.6, 6144401, $360.16, $362.86, $350.5
03/06/2019, $359.61, 6194189, $353.6, $359.88, $351.7
03/05/2019, $354.3, 5919936, $351.46, $356.17, $348.25
03/04/2019, $351.04, 7478914, $359.72, $362.25, $348.0436
03/01/2019, $357.32, 5466102, $362.26, $362.87, $354.6915
02/28/2019, $358.1, 6157285, $362.47, $366.39, $357.709
02/27/2019, $362.87, 5621615, $363.5, $368.03, $359.8
02/26/2019, $364.97, 4924616, $362.98, $365.7, $359.33
02/25/2019, $363.91, 7537507, $367.01, $371.49, $363.79
02/22/2019, $363.02, 7077753, $360.34, $366.13, $360.05
02/21/2019, $356.97, 6217185, $360.03, $362.85, $353.88
02/20/2019, $359.91, 8101412, $364.85, $366.71, $356.7
02/19/2019, $361.92, 7379683, $355.8, $365, $355.32
02/15/2019, $356.87, 9218066, $358.47, $364.4, $355.5
02/14/2019, $359.07, 9280393, $351.75, $360.45, $348.33
02/13/2019, $351.77, 10529710, $357.3, $359.6, $350.28
02/12/2019, $359.97, 10388190, $348.09, $360, $346.52
02/11/2019, $345.73, 5438119, $350, $352.87, $344.81
02/08/2019, $347.57, 7550268, $338, $348, $338
02/07/2019, $344.71, 7850353, $347.9, $348.75, $339.02
02/06/2019, $352.19, 6707279, $357, $357.04, $347.19
02/05/2019, $355.81, 9030720, $353.2, $360, $352.9
02/04/2019, $351.34, 9024097, $342.6, $352, $341.3
02/01/2019, $339.85, 9822615, $337.18, $346.84, $336.5
01/31/2019, $339.5, 8493725, $339.68, $345.99, $338.0919
01/30/2019, $340.66, 9081266, $332.75, $341.78, $330.8
01/29/2019, $328.9, 7619808, $335.87, $338.22, $328.151
01/28/2019, $335.66, 8639403, $334.7, $336.3, $328.88
01/25/2019, $338.05, 11147040, $328.72, $340, $328.51
01/24/2019, $326.67, 11115040, $320.6, $331.8, $319
01/23/2019, $321.99, 13456260, $328.25, $331.75, $318.6
01/22/2019, $325.16, 17909440, $334.89, $336.88, $321.03
01/18/2019, $339.1, 26583340, $351.97, $353, $336.73
01/17/2019, $353.19, 18238350, $349.5, $355.79, $346.41
01/16/2019, $351.39, 15345670, $354, $358.85, $348.11
01/15/2019, $354.64, 21133450, $349.6, $357.22, $347
01/14/2019, $332.94, 10460420, $334.24, $335.48, $329.13
01/11/2019, $337.59, 19458690, $330.96, $341.09, $328.52
01/10/2019, $324.66, 13398180, $314.57, $325.37, $312.5
01/09/2019, $319.96, 13307980, $317.71, $323.3508, $313.5
01/08/2019, $320.27, 15279550, $319.98, $320.593, $308.01
01/07/2019, $315.34, 18586260, $302.1, $316.8, $301.65
01/04/2019, $297.57, 19299450, $281.88, $297.8, $278.54
01/03/2019, $271.2, 14946970, $270.2, $275.79, $264.43
01/02/2019, $267.66, 11612970, $259.28, $269.7499, $256.58
12/31/2018, $267.66, 13496880, $260.16, $270.1001, $260
12/28/2018, $256.08, 10972920, $257.94, $261.9144, $249.8
12/27/2018, $255.565, 12124430, $250.11, $255.59, $240.1
12/26/2018, $253.67, 14203700, $233.92, $254.5, $231.23
12/24/2018, $233.88, 9547616, $242, $250.65, $233.68
12/21/2018, $246.39, 21359330, $263.83, $264.5, $241.29
12/20/2018, $260.58, 16769340, $264.64, $269.9, $251.88
12/19/2018, $266.77, 13767940, $269.96, $280.87, $263.77
12/18/2018, $270.94, 10330450, $263.3, $275.75, $263.29
12/17/2018, $262.8, 9616301, $266.51, $272.98, $261.075
12/14/2018, $266.84, 9908930, $271.81, $277.6665, $265
12/13/2018, $276.02, 8373219, $277.64, $279.32, $271.85
12/12/2018, $274.88, 11439180, $267.66, $281.7695, $266.48
12/11/2018, $265.32, 9823745, $274.08, $274.5, $262.76
12/10/2018, $269.7, 9582549, $264.19, $271.18, $260.6094
12/07/2018, $265.14, 12454720, $282.48, $284.209, $263.38
12/06/2018, $282.88, 13043830, $268.33, $283.22, $267.14
12/04/2018, $275.33, 12762320, $288.13, $295.74, $274.72
12/03/2018, $290.3, 14098100, $293.19, $298.72, $284.58
11/30/2018, $286.13, 11835670, $288, $290.81, $283.061
11/29/2018, $288.75, 15016520, $282.32, $290.49, $275.5
11/28/2018, $282.65, 14773990, $271.98, $284, $263.34
11/27/2018, $266.63, 10956480, $259.24, $269.08, $256.14
11/26/2018, $261.43, 12490330, $260.55, $266.25, $253.8
11/23/2018, $258.82, 5245123, $260.11, $265.5, $256.84
11/21/2018, $262.13, 11014290, $274.42, $275.34, $261.51
11/20/2018, $266.98, 16676540, $254.63, $276.34, $250
11/19/2018, $270.6, 12486920, $283.79, $285.09, $269.15
11/16/2018, $286.21, 9084589, $287.14, $291.72, $281
11/15/2018, $290.06, 9874546, $285.51, $292.5, $282.16
11/14/2018, $286.73, 16807390, $300.4, $301.84, $278.2969
11/13/2018, $294.4, 12117170, $295, $303.55, $289.1
11/12/2018, $294.07, 10886490, $300, $302.49, $290.63
11/09/2018, $303.47, 13463170, $311.07, $312.98, $298.01
11/08/2018, $317.92, 11008020, $328, $332.0499, $316.6103
11/07/2018, $327.5, 13308030, $312.9, $328.56, $311
11/06/2018, $310.84, 9659785, $314.76, $320.22, $305.3
11/05/2018, $315.44, 10247430, $311.1, $317.53, $303.74
11/02/2018, $309.1, 13356130, $318, $321.88, $308.33
11/01/2018, $317.38, 15031690, $304.59, $318.45, $296.67
10/31/2018, $301.78, 20092970, $297.77, $311.5, $295.05
10/30/2018, $285.81, 23622680, $275.57, $290.525, $271.2093
10/29/2018, $284.84, 21662320, $305.26, $307.89, $275.4
10/26/2018, $299.83, 19591690, $300.51, $313.99, $292.3
10/25/2018, $312.87, 13285040, $307.12, $319.94, $305.25
10/24/2018, $301.83, 18926130, $332.28, $333, $300.73
10/23/2018, $333.16, 14880870, $318, $336.58, $316.77
10/22/2018, $329.54, 17081350, $333.1, $335.8, $320.34
10/19/2018, $332.67, 16696220, $351, $355.8, $332.2
10/18/2018, $346.71, 18067760, $360.673, $362.2, $346.05
10/17/2018, $364.7, 32564190, $378.33, $380, $356.5
10/16/2018, $346.4, 19670560, $337.24, $347.95, $330.555
10/15/2018, $333.13, 11177510, $337.63, $339.2057, $326.93
10/12/2018, $339.56, 14806860, $339.57, $341.3, $328.9
10/11/2018, $321.1, 16020690, $324.94, $334.2, $315.81
10/10/2018, $325.89, 17063660, $353.52, $355.15, $325.39
10/09/2018, $355.71, 8730976, $348.48, $358.72, $347.09
10/08/2018, $349.1, 12367510, $345.18, $352.945, $338.11
10/05/2018, $351.35, 13512410, $359.77, $363.5, $343
10/04/2018, $363.65, 9052362, $375.88, $375.92, $360.4
10/03/2018, $377.05, 5791686, $378.53, $380.93, $374.881
10/02/2018, $377.14, 8620881, $384.38, $386.7999, $373.83
10/01/2018, $381.43, 8339887, $375.85, $386.11, $375.59
09/28/2018, $374.13, 7104066, $379.24, $380.8, $373.73
09/27/2018, $380.71, 7295123, $379.87, $383.2, $376
09/26/2018, $377.88, 13540220, $373.59, $382, $370.88
09/25/2018, $369.43, 6775710, $370.23, $371.34, $364.492
09/24/2018, $369.61, 9284561, $359, $373.64, $354.33
09/21/2018, $361.19, 11894650, $366.59, $372.22, $360.74
09/20/2018, $365.36, 6756310, $370.26, $370.26, $363.17
09/19/2018, $366.96, 11842150, $373.95, $377.61, $359.17
09/18/2018, $367.65, 10387420, $353.67, $368.15, $351.56
09/17/2018, $350.35, 7017306, $364.22, $367.33, $349.57
09/14/2018, $364.56, 4735893, $368.55, $371.09, $363.46
09/13/2018, $368.15, 8349938, $371.91, $374.09, $366.84
09/12/2018, $369.95, 10360140, $359.08, $370.43, $356.24
09/11/2018, $355.93, 6190391, $344.67, $356.15, $343.9001
09/10/2018, $348.41, 5732200, $352.27, $352.5, $343.08
09/07/2018, $348.68, 9094700, $342.2, $355.75, $341.25
09/06/2018, $346.46, 13029930, $347.44, $356, $341.99
09/05/2018, $341.18, 13072940, $360, $363.39, $335.83
09/04/2018, $363.6, 7590605, $366.47, $368.88, $361.26
08/31/2018, $367.68, 7918045, $370.66, $376, $367.0766
08/30/2018, $370.98, 10969500, $365, $376.8085, $363.54
08/29/2018, $368.04, 8103592, $367.2, $369.86, $362.91
08/28/2018, $368.49, 9190409, $367.23, $369.99, $360.38
08/27/2018, $364.58, 17371910, $367.145, $374.49, $360
08/24/2018, $358.82, 14705630, $346, $359.15, $344.541
08/23/2018, $339.17, 11312170, $348.11, $350.08, $337.65
08/22/2018, $344.44, 8912548, $338.49, $346.21, $337.406
08/21/2018, $338.02, 14501880, $331, $341.5, $329.7
08/20/2018, $327.73, 13564480, $314.64, $331.6, $310.928
08/17/2018, $316.78, 10370280, $319.01, $324.365, $312.96
08/16/2018, $322.44, 6674219, $329.9, $331.17, $321.2138
08/15/2018, $326.4, 11746500, $334.03, $335.4962, $321
08/14/2018, $337.49, 5791723, $342.09, $342.41, $336.25
08/13/2018, $341.31, 6884455, $339.89, $347.19, $339.07
08/10/2018, $345.87, 4327581, $346.91, $349.1, $344.4233
08/09/2018, $349.36, 4680889, $347.96, $352.439, $345.8157
08/08/2018, $347.61, 5392715, $352.21, $352.29, $346.61
08/07/2018, $351.83, 7952555, $353.23, $357.31, $349.01
08/06/2018, $350.92, 8186587, $342.865, $351.98, $341.74
08/03/2018, $343.09, 8836308, $347.75, $347.86, $338.4768
08/02/2018, $344.5, 7111670, $337.23, $345, $334.71
08/01/2018, $338.38, 7761986, $335.87, $344.41, $334.02
07/31/2018, $337.45, 14039440, $331.51, $342.5, $328
07/30/2018, $334.96, 18227810, $351.93, $352.03, $334.0201
07/27/2018, $355.21, 8938523, $366.85, $367, $351.65
07/26/2018, $363.09, 6961506, $358.19, $365.54, $356.625
07/25/2018, $362.87, 8382441, $357.57, $363.28, $355.65
07/24/2018, $357.32, 12829360, $366.94, $367.4, $354.56
07/23/2018, $362.66, 11463490, $359.145, $363.9, $353.6
07/20/2018, $361.05, 15089420, $364.92, $370.5, $360.14
07/19/2018, $364.23, 16829630, $371.06, $375.749, $363
07/18/2018, $375.13, 21706840, $381.24, $383.13, $372.3552
07/17/2018, $379.48, 58303640, $346.95, $385, $344
07/16/2018, $400.48, 22225460, $398.98, $403.355, $391.75
07/13/2018, $395.8, 15695110, $409.19, $410, $395.081
07/12/2018, $413.5, 12703940, $415.155, $416.79, $407.8
07/11/2018, $418.65, 9635060, $411.34, $419.77, $410.6
07/10/2018, $415.63, 9205902, $417.24, $419.44, $413.08
07/09/2018, $418.97, 11091340, $415.95, $419.12, $411.1
07/06/2018, $408.25, 8568382, $397.45, $408.6495, $395.5225
07/05/2018, $398.39, 8418116, $393.8, $399.24, $390.86
07/03/2018, $390.52, 5280344, $399.49, $399.98, $389.5
07/02/2018, $398.18, 8125655, $385.45, $398.38, $380
06/29/2018, $391.43, 9228678, $399.19, $401.3299, $390.55
06/28/2018, $395.42, 12202630, $395, $396.9, $387.1
06/27/2018, $390.39, 16495200, $407.56, $411.5865, $390
06/26/2018, $399.39, 15165630, $393.28, $404.78, $389.05
06/25/2018, $384.48, 22458240, $404.69, $405.99, $378.75
06/22/2018, $411.09, 10410580, $419.98, $420.5, $409.651
06/21/2018, $415.44, 18048570, $421.38, $423.2056, $406.3701
06/20/2018, $416.76, 16453370, $415.15, $419.4675, $409.6
06/19/2018, $404.98, 16673810, $389.5, $405.29, $388.5
06/18/2018, $390.4, 6800984, $387.72, $393.16, $386.5
06/15/2018, $391.98, 13569210, $390.71, $398.86, $387.51
06/14/2018, $392.87, 14549540, $384.27, $395.03, $383.25
06/13/2018, $379.93, 18186020, $367.53, $384.2537, $364.11
06/12/2018, $363.83, 4220072, $363.6, $365.98, $362
06/11/2018, $361.45, 4415776, $361.88, $365.67, $360.91
06/08/2018, $360.57, 5222873, $358.06, $362.39, $356.25
06/07/2018, $361.4, 8260323, $368.54, $368.7, $357.8
06/06/2018, $367.45, 7700033, $367.7848, $369.6799, $363.33
06/05/2018, $365.8, 8346886, $363.32, $369.83, $361.4124
06/04/2018, $361.81, 7662865, $362.685, $363, $355.51
06/01/2018, $359.93, 7102421, $353.88, $359.99, $352.82
05/31/2018, $351.6, 6906813, $353.8, $355.53, $350.21
05/30/2018, $353.54, 5658169, $352.37, $354, $349.26
05/29/2018, $349.73, 9700413, $351.5, $356.1, $346.71
05/25/2018, $351.29, 7801602, $349.9, $354.36, $348.83
05/24/2018, $349.29, 14493130, $344.34, $354, $341.12
05/23/2018, $344.72, 10021210, $329.04, $345, $328.09
05/22/2018, $331.62, 5916643, $334.05, $336.63, $331.15
05/21/2018, $331.82, 6596446, $327.11, $331.88, $325.45
05/18/2018, $324.18, 3574961, $324.9, $326.42, $322.8
05/17/2018, $325.22, 4927856, $327.53, $330.45, $323.1734
05/16/2018, $328.19, 3664326, $326.28, $329.72, $325.14
05/15/2018, $326.13, 4739263, $325.94, $326.94, $322.434
05/14/2018, $328.53, 4086250, $327.25, $330.5038, $327.04
05/11/2018, $326.46, 4584430, $329.65, $331.26, $324.87
05/10/2018, $329.6, 5232784, $331.5, $332.055, $327.3438
05/09/2018, $330.3, 5623407, $328.79, $331.95, $327.51
05/08/2018, $326.89, 4694953, $325.9, $327.348, $323.05
05/07/2018, $326.26, 7121198, $321.9947, $329.0234, $319.34
05/04/2018, $320.09, 8204203, $308.71, $320.98, $307.67
05/03/2018, $311.69, 6037386, $312.59, $312.59, $305.73
05/02/2018, $313.36, 5577613, $311.65, $317.1, $310.4034
05/01/2018, $313.3, 6014838, $310.36, $313.48, $306.69
04/30/2018, $312.46, 6066764, $311.07, $317.88, $310.118
04/27/2018, $311.76, 7070118, $316.25, $317.45, $306.5
04/26/2018, $313.98, 9223707, $310, $316.63, $305.58
04/25/2018, $305.76, 14763940, $306.37, $309.98, $292.615
04/24/2018, $307.02, 13873450, $319.217, $320.249, $302.31
04/23/2018, $318.69, 8871631, $329.15, $331.22, $317.08
04/20/2018, $327.77, 9116941, $332.22, $336.51, $326
04/19/2018, $332.7, 8420032, $332.88, $335.31, $326.77
04/18/2018, $334.52, 11175190, $336.3, $338.82, $331.1
04/17/2018, $336.06, 33811180, $329.66, $338.62, $323.77
04/16/2018, $307.78, 19782250, $315.99, $316.1, $304
04/13/2018, $311.65, 12001850, $317.29, $317.49, $308.23
04/12/2018, $309.25, 10206660, $309.719, $311.13, $306.75
04/11/2018, $303.67, 14839040, $302.885, $311.64, $301.82
04/10/2018, $298.07, 10669840, $297.68, $298.95, $291.69
04/09/2018, $289.93, 9833068, $291.77, $299.55, $289.12
04/06/2018, $288.85, 11362890, $289.1, $298.85, $285.65
04/05/2018, $293.97, 10569180, $293.15, $299.16, $289.11
04/04/2018, $288.94, 12892670, $273.63, $290.31, $271.2239
04/03/2018, $283.67, 12669270, $285.45, $291.25, $278.01
04/02/2018, $280.29, 13343310, $291.94, $292.87, $275.05
03/29/2018, $295.35, 19115850, $287, $295.35, $275.9
03/28/2018, $285.77, 18949520, $298.39, $298.8, $281.61
03/27/2018, $300.69, 12028240, $322.49, $322.9, $297
03/26/2018, $320.35, 11970640, $309.36, $321.03, $302
03/23/2018, $300.94, 9504181, $307.41, $310.73, $300.36
03/22/2018, $306.7, 7959714, $313.07, $314.12, $305.66
03/21/2018, $316.48, 5061869, $316.35, $319.4, $314.511
03/20/2018, $317.5, 5983240, $313.26, $319.5, $312.8
03/19/2018, $313.48, 9844201, $315.8, $317, $307.34
03/16/2018, $318.45, 7315268, $321.42, $324.11, $318.37
03/15/2018, $321.09, 5465467, $323.17, $323.4, $318.14
03/14/2018, $321.55, 10463840, $318.16, $323.88, $317.7
03/13/2018, $315.88, 12878750, $323.87, $325.8409, $313.278
03/12/2018, $321.3, 20277420, $333.56, $333.98, $318.6
03/09/2018, $331.44, 14320240, $321.33, $331.44, $320.23
03/08/2018, $317, 11366700, $322.2, $322.9176, $314.13
03/07/2018, $321.16, 17110740, $320, $323.74, $314.55
03/06/2018, $325.22, 18245450, $319.88, $325.79, $316.5
03/05/2018, $315, 18957770, $302.85, $316.91, $297.6
03/02/2018, $301.05, 13278500, $284.65, $301.18, $283.23
03/01/2018, $290.39, 11892990, $292.75, $295.25, $283.83
02/28/2018, $291.38, 7501444, $293.1, $295.75, $290.78
02/27/2018, $290.61, 9247414, $294.77, $297.36, $290.59
02/26/2018, $294.16, 10256830, $288.75, $295.6475, $287.01
